query,rows_v1,rows_v2,rows_v3,equivalent
q01,1,1,1,True
q02,1,1,1,True
q03,2,2,2,True
q04,1,1,1,True
q05,55,55,55,True
q06,7,7,7,True
q07,11,11,11,True
q08,3,3,3,True
q09,5,5,5,True
q10,25,25,25,True
q11,23,23,23,True
q12,1,1,1,True
q13,1,1,1,True
q14,31,31,31,True
q15,95,95,95,True
q16,1,1,1,True
q17,1,1,1,True
q18,8,8,8,True
q19,1,1,1,True
q20,50,50,50,True
q21,33,33,33,True
q22,10,10,10,True
q23,30,30,30,True
q24,5,5,5,True
q25,47,47,47,True
q26,14,14,14,True
q27,72,72,72,True
q28,2,2,2,True
q29,41,41,41,True
q30,129,129,129,True
q31,8,8,8,True
q32,1,1,1,True
q33,47,47,47,True
q34,5,5,5,True
q35,14,14,14,True
